Gene	Role_in_Cancer
RMI2	"TSG, fusion"
RNF43	TSG
ROBO2	TSG
RPL10	TSG
RPL22	"TSG, fusion"
RPL5	TSG
RSPO2	"TSG, fusion"
RUNX1T1	"oncogene, TSG, fusion"
SBDS	TSG
SDHAF2	TSG
SDHB	TSG
SDHC	TSG
SDHD	TSG
SETD1B	TSG
SFPQ	"TSG, fusion"
SIRPA	TSG
SLC34A2	"TSG, fusion"
SMARCA4	TSG
SMARCB1	TSG
SMARCD1	TSG
SMARCE1	TSG
SMC1A	TSG
SOX21	TSG
SPEN	TSG
SPOP	TSG
STAG1	TSG
STAG2	TSG
STAT5B	"oncogene, TSG, fusion"
SUFU	TSG
SUZ12	"oncogene, TSG, fusion"
TBL1XR1	"oncogene, TSG, fusion"
TCF3	"oncogene, TSG, fusion"
TENT5C	TSG
TERT	"oncogene, TSG"
TNFAIP3	TSG
TNFRSF14	TSG
TPM3	"TSG, fusion"
TRAF7	TSG
TRIM24	"oncogene, TSG, fusion"
TRIM33	"TSG, fusion"
USP44	TSG
WIF1	"TSG, fusion"
WNK2	TSG
WRN	TSG
WT1	"oncogene, TSG, fusion"
YWHAE	"TSG, fusion"
ZBTB16	"TSG, fusion"
ZMYM3	TSG
ZNF331	"TSG, fusion"
ZNRF3	TSG
ZRSR2	TSG
