Gene	Role_in_Cancer
ABI1	TSG
ACVR2A	TSG
ALDH2	TSG
AMER1	TSG
APC	TSG
APOBEC3B	oncogene/TSG
ARHGAP26	TSG
ARHGEF12	TSG
ARID1A	TSG
ARID1B	TSG
ARID2	TSG
ARNT	oncogene/TSG
ASXL1	TSG
ATM	TSG
ATP1A1	oncogene/TSG
ATP2B3	TSG
ATR	TSG
ATRX	TSG
AXIN1	TSG
AXIN2	TSG
B2M	TSG
BAP1	TSG
BCL11B	oncogene/TSG
BCL9L	oncogene/TSG
BCOR	TSG
BCORL1	oncogene/TSG
BIRC3	oncogene/TSG
BLM	TSG
BMPR1A	oncogene/TSG
BRCA1	TSG
BRCA2	TSG
BRIP1	TSG
BTG1	TSG
BTK	oncogene/TSG
BUB1B	TSG
CAMTA1	TSG
CASP8	TSG
CBFB	TSG
CBL	oncogene/TSG
CBLB	TSG
CBLC	oncogene/TSG
CCDC6	TSG
CCNB1IP1	TSG
CD274	TSG
CDC73	TSG
CDH1	TSG
CDH11	TSG
CDK12	TSG
CDKN1B	TSG
CDKN2A	TSG
CDKN2C	TSG
CDX2	TSG
CEBPA	TSG
CHEK2	TSG
CIITA	TSG
CLTC	TSG
CLTCL1	TSG
CNBP	TSG
CNOT3	TSG
CREB3L1	TSG
CREBBP	oncogene/TSG
CTCF	TSG
CUX1	oncogene/TSG
CYLD	TSG
DAXX	oncogene/TSG
DDB2	oncogene/TSG
DDX3X	TSG
DICER1	TSG
DNM2	TSG
DNMT3A	TSG
DROSHA	TSG
EPAS1	oncogene/TSG
ERBB4	oncogene/TSG
ERCC2	TSG
ERCC3	TSG
ERCC4	TSG
ERCC5	TSG
ETNK1	TSG
EXT2	TSG
EZH2	oncogene/TSG
FAM46C	TSG
FANCA	TSG
FANCC	TSG
FANCD2	TSG
FANCE	TSG
FANCF	TSG
FANCG	TSG
FAS	TSG
FAT1	TSG
FAT4	TSG
FBXO11	TSG
FBXW7	TSG
FES	oncogene/TSG
FH	TSG
FHIT	TSG
FLCN	TSG
FOXL2	oncogene/TSG
FOXO1	oncogene/TSG
FOXO3	oncogene/TSG
FOXO4	oncogene/TSG
GATA1	oncogene/TSG
GATA3	oncogene/TSG
GRIN2A	TSG
HNF1A	TSG
IKZF1	TSG
IRF4	oncogene/TSG
JAK1	oncogene/TSG
KDM5C	TSG
KDM6A	oncogene/TSG
KEAP1	TSG
KLF4	oncogene/TSG
KLF6	TSG
KMT2C	TSG
KMT2D	oncogene/TSG
LEF1	oncogene/TSG
LRP1B	TSG
LZTR1	TSG
MAP2K4	oncogene/TSG
MAP3K1	oncogene/TSG
MAP3K13	oncogene/TSG
MAX	TSG
MED12	TSG
MEN1	TSG
MLH1	TSG
MSH2	TSG
MSH6	TSG
MUTYH	TSG
NBN	TSG
NCOR1	TSG
NCOR2	TSG
NF2	TSG
NFE2L2	oncogene/TSG
NFKBIE	TSG
NKX2-1	oncogene/TSG
NOTCH1	oncogene/TSG
NOTCH2	oncogene/TSG
PALB2	TSG
PBRM1	TSG
PTEN	TSG
PTK6	oncogene/TSG
PTPN13	TSG
PTPRT	TSG
QKI	oncogene/TSG
RB1	TSG
RBM10	TSG
RUNX1	oncogene/TSG
SDHA	TSG
SETD2	TSG
SFRP4	TSG
SH2B3	TSG
SMAD2	TSG
SMAD3	TSG
SMAD4	TSG
SOCS1	TSG
STK11	TSG
TBX3	oncogene/TSG
TET1	oncogene/TSG
TET2	TSG
TGFBR2	TSG
TMEM127	TSG
TP53	oncogene/TSG
TP63	oncogene/TSG
TSC1	TSG
TSC2	TSG
VHL	TSG
XPA	TSG
XPC	TSG
ZFHX3	TSG
ACVR1B	TSG
ARHGAP35	TSG
ARHGEF10	TSG
ARHGEF10L	TSG
ASXL2	TSG
BARD1	TSG
BAX	TSG
BAZ1A	TSG
BCL10	"TSG, fusion"
BTG2	TSG
CARS	"TSG, fusion"
CASP3	TSG
CASP9	TSG
CBFA2T3	"TSG, fusion"
CCNC	TSG
CDH10	TSG
CDKN1A	"oncogene, TSG"
CHD2	TSG
CIC	"oncogene, TSG, fusion"
CNTNAP2	TSG
CPEB3	TSG
CSMD3	TSG
CTNNA1	"TSG, fusion"
CUL3	TSG
DDX10	"TSG, fusion"
EBF1	"TSG, fusion"
EED	TSG
EIF3E	"TSG, fusion"
ELF3	TSG
ELF4	"oncogene, TSG, fusion"
ELL	"TSG, fusion"
EP300	"TSG, fusion"
EPS15	"TSG, fusion"
ESR1	"oncogene, TSG, fusion"
ETV6	"TSG, fusion"
EXT1	"TSG, fusion"
FBLN2	TSG
FEN1	TSG
FUS	"TSG, fusion"
GPC3	"oncogene, TSG"
GPC5	TSG
HOXA11	"oncogene, TSG, fusion"
HOXA9	"oncogene, TSG, fusion"
ID3	TSG
IGF2BP2	TSG
IKZF3	"oncogene, TSG, fusion"
IRS4	"oncogene, TSG"
KAT6B	"TSG, fusion"
KNL1	"TSG, fusion"
LARP4B	TSG
LATS1	TSG
LATS2	TSG
LEPROTL1	TSG
LRIG3	"TSG, fusion"
MALAT1	"oncogene, TSG, fusion"
MGMT	TSG
MLF1	"TSG, fusion"
MRTFA	"oncogene, TSG, fusion"
MYH9	"TSG, fusion"
N4BP2	TSG
NAB2	"TSG, fusion"
NCOA4	"TSG, fusion"
NDRG1	"TSG, fusion"
NF1	"TSG, fusion"
NFKB2	"oncogene, TSG, fusion"
NRG1	"TSG, fusion"
NTHL1	TSG
NTRK1	"oncogene, TSG, fusion"
PABPC1	"oncogene, TSG"
PATZ1	"TSG, fusion"
